案例编号,任务类型,请求序列,历史时隙,负载状态类型,历史资源缓存量,综合评价值,请求保障率,资源冗余率,案例质量分,近期平均请求到达量,请求到达量趋势,等待服务队列趋势,空闲算力资源趋势
train_0_0_demo_game_001_user_seq_001_t2,快速问答服务,请求序列001,2,oversupply_risk,85.33959984779358,-1.7696410417556763,1.0,1.0,-0.9993815125925669,0.4000000059604645,-0.25,0.0,20.406131505966187
train_0_0_demo_game_001_user_seq_001_t3,快速问答服务,请求序列001,3,oversupply_risk,55.326104164123535,-2.322902202606201,1.0,1.0,-0.9998200743934998,0.20000000298023224,-0.25,0.0,20.406131505966187
train_0_0_demo_game_001_user_seq_001_t3,快速问答服务,请求序列001,3,oversupply_risk,55.326104164123535,-2.322902202606201,1.0,1.0,-0.9999270626985912,0.0,0.0,0.0,41.991031646728516
train_0_0_demo_game_001_user_seq_001_t4,快速问答服务,请求序列001,4,oversupply_risk,120.36014795303345,-3.526503801345825,1.0,1.0,-0.9999892772511114,0.0,0.0,0.0,41.991031646728516
train_0_0_demo_game_001_user_seq_001_t4,快速问答服务,请求序列001,4,oversupply_risk,120.36014795303345,-3.526503801345825,1.0,1.0,-0.9999967545011318,0.0,0.0,0.0,35.16643142700195
train_0_0_demo_game_001_user_seq_001_t5,快速问答服务,请求序列001,5,oversupply_risk,30.139219760894775,-3.8278958797454834,1.0,1.0,-0.9999996833781684,0.0,0.0,0.0,35.16643142700195
train_0_0_demo_game_001_user_seq_001_t5,快速问答服务,请求序列001,5,oversupply_risk,30.139219760894775,-3.8278958797454834,1.0,1.0,-0.9999999629886074,0.0,0.0,0.0,43.92154312133789
train_0_0_demo_game_001_user_seq_001_t6,快速问答服务,请求序列001,6,oversupply_risk,169.04455423355103,-5.518341541290283,1.0,1.0,-0.9999999979283278,0.0,0.0,0.0,43.92154312133789
train_0_0_demo_game_001_user_seq_001_t6,快速问答服务,请求序列001,6,oversupply_risk,169.04455423355103,-5.518341541290283,1.0,1.0,-0.9999999996802584,0.0,0.0,0.0,37.62480926513672
train_0_0_demo_game_001_user_seq_001_t7,快速问答服务,请求序列001,7,oversupply_risk,188.70255947113037,-7.405366897583008,1.0,1.0,-0.9999999999696204,0.0,0.0,0.0,37.62480926513672
train_0_0_demo_game_001_user_seq_001_t7,快速问答服务,请求序列001,7,oversupply_risk,188.70255947113037,-7.405366897583008,1.0,1.0,-0.9999999999910447,0.0,0.0,0.0,49.795921325683594
train_0_0_demo_game_001_user_seq_001_t8,快速问答服务,请求序列001,8,oversupply_risk,122.73097038269043,-8.632676124572754,1.0,1.0,-0.9999999999976392,0.0,0.0,0.0,49.795921325683594
train_0_0_demo_game_001_user_seq_001_t8,快速问答服务,请求序列001,8,oversupply_risk,122.73097038269043,-8.632676124572754,1.0,1.0,-0.9999999999987004,0.0,0.0,0.0,89.43679809570312
train_0_0_demo_game_001_user_seq_001_t9,快速问答服务,请求序列001,9,oversupply_risk,80.85699677467346,-9.441246032714844,1.0,1.0,-0.9999999999995943,0.0,0.0,0.0,89.43679809570312
train_0_0_demo_game_001_user_seq_001_t9,快速问答服务,请求序列001,9,oversupply_risk,80.85699677467346,-9.441246032714844,1.0,1.0,-0.9999999999997944,0.0,0.0,0.0,77.85836791992188
train_0_0_demo_game_001_user_seq_001_t10,快速问答服务,请求序列001,10,oversupply_risk,18.62383782863617,-9.627484321594238,1.0,1.0,-0.9999999999999296,0.0,0.0,0.0,77.85836791992188
train_0_0_demo_game_001_user_seq_001_t10,快速问答服务,请求序列001,10,oversupply_risk,18.62383782863617,-9.627484321594238,1.0,1.0,-0.999999999999973,0.0,0.0,0.0,50.89701843261719
train_0_0_demo_game_001_user_seq_001_t11,快速问答服务,请求序列001,11,oversupply_risk,94.59155797958374,-10.573400497436523,1.0,1.0,-0.9999999999999946,0.0,0.0,0.0,50.89701843261719
train_0_0_demo_game_001_user_seq_001_t11,快速问答服务,请求序列001,11,oversupply_risk,94.59155797958374,-10.573400497436523,1.0,1.0,-0.9999999999999981,0.0,0.0,0.0,24.87030029296875
train_0_0_demo_game_001_user_seq_001_t12,快速问答服务,请求序列001,12,oversupply_risk,65.41786193847656,-11.227579116821289,1.0,1.0,-0.9999999999999997,0.0,0.0,0.0,24.87030029296875
train_0_0_demo_game_001_user_seq_001_t12,快速问答服务,请求序列001,12,oversupply_risk,65.41786193847656,-11.227579116821289,1.0,1.0,-0.9999999999999999,0.0,0.0,0.0,28.3038330078125
train_0_0_demo_game_001_user_seq_001_t13,快速问答服务,请求序列001,13,oversupply_risk,106.67405128479004,-12.294320106506348,1.0,1.0,-1.0,0.0,0.0,0.0,28.3038330078125
train_0_0_demo_game_001_user_seq_001_t13,快速问答服务,请求序列001,13,oversupply_risk,106.67405128479004,-12.294320106506348,1.0,1.0,-1.0,0.0,0.0,0.0,40.0023193359375
