时隙,任务类型,请求序列,请求到达量,空闲算力资源,等待服务队列,即时需求缺口,缓存调整量,资源缓存量,综合评价值,请求保障率,资源冗余率,下一时隙空闲算力资源,下一时隙等待服务队列,决策来源,相似案例编号
0,危险源态势研判,危化事故序列005,1.0,10.0,0.0,0.0,-0.5413421392440796,0.0,-0.09,1.0,0.9,9.0,0.0,相似案例缓存预测回退,"valid_13_0_危险源态势研判_危化事故序列005_t53,train_13_0_危险源态势研判_危化事故序列005_t16,valid_12_0_灾害图像深度分析_台风灾情序列004_t198,valid_0_0_结构化报告生成_山火监测序列003_t30,valid_0_0_快速问答服务_地震救援序列001_t5"
1,危险源态势研判,危化事故序列005,6.0,9.0,0.0,0.0,-0.5744162201881409,0.0,-0.03,1.0,0.3333333333333333,3.0,0.0,相似案例缓存预测回退,"valid_13_0_危险源态势研判_危化事故序列005_t24,train_13_0_危险源态势研判_危化事故序列005_t16,valid_12_0_灾害图像深度分析_台风灾情序列004_t84,valid_0_0_结构化报告生成_山火监测序列003_t32,valid_0_0_受灾目标识别_洪涝巡检序列002_t170"
2,危险源态势研判,危化事故序列005,5.0,3.0,0.0,2.0,-0.37225741147994995,0.0,-0.06,0.6,0.0,0.0,2.0,相似案例缓存预测回退,"valid_13_0_危险源态势研判_危化事故序列005_t40,train_13_0_危险源态势研判_危化事故序列005_t19,valid_12_0_灾害图像深度分析_台风灾情序列004_t187,valid_0_0_受灾目标识别_洪涝巡检序列002_t10,valid_0_0_结构化报告生成_山火监测序列003_t32"
3,危险源态势研判,危化事故序列005,5.0,0.0,2.0,7.0,-0.16388700902462006,0.0,-0.21,0.0,0.0,0.0,7.0,相似案例缓存预测回退,"valid_13_0_危险源态势研判_危化事故序列005_t41,train_13_0_危险源态势研判_危化事故序列005_t19,valid_12_0_灾害图像深度分析_台风灾情序列004_t195,valid_0_0_受灾目标识别_洪涝巡检序列002_t155,valid_0_0_结构化报告生成_山火监测序列003_t5"
4,危险源态势研判,危化事故序列005,3.0,0.0,7.0,10.0,-0.16558793187141418,0.0,-0.3,0.0,0.0,0.0,10.0,相似案例缓存预测回退,"valid_13_0_危险源态势研判_危化事故序列005_t41,train_13_0_危险源态势研判_危化事故序列005_t19,valid_12_0_灾害图像深度分析_台风灾情序列004_t195,valid_0_0_受灾目标识别_洪涝巡检序列002_t155,valid_0_0_结构化报告生成_山火监测序列003_t5"
5,危险源态势研判,危化事故序列005,7.0,0.0,10.0,17.0,-0.1660962700843811,0.0,-0.51,0.0,0.0,0.0,17.0,相似案例缓存预测回退,"valid_13_0_危险源态势研判_危化事故序列005_t41,train_13_0_危险源态势研判_危化事故序列005_t19,valid_12_0_灾害图像深度分析_台风灾情序列004_t195,valid_0_0_受灾目标识别_洪涝巡检序列002_t162,valid_0_0_结构化报告生成_山火监测序列003_t5"
6,危险源态势研判,危化事故序列005,5.0,0.0,17.0,22.0,0.17980080842971802,57.9601616859436,-0.35960161685943604,1.0,0.62042894015364,35.9601616859436,0.0,相似案例缓存预测回退,"valid_13_0_危险源态势研判_危化事故序列005_t22,train_13_0_危险源态势研判_危化事故序列005_t20,valid_12_0_灾害图像深度分析_台风灾情序列004_t194,valid_0_0_受灾目标识别_洪涝巡检序列002_t168,valid_0_0_结构化报告生成_山火监测序列003_t5"
7,危险源态势研判,危化事故序列005,5.0,35.9601616859436,0.0,0.0,-0.6829821467399597,0.0,-0.30960161685943605,1.0,0.8609572436390229,30.960161685943604,0.0,相似案例缓存预测回退,"valid_13_0_危险源态势研判_危化事故序列005_t23,train_13_0_危险源态势研判_危化事故序列005_t21,valid_12_0_灾害图像深度分析_台风灾情序列004_t194,valid_0_0_受灾目标识别_洪涝巡检序列002_t170,valid_0_0_结构化报告生成_山火监测序列003_t5"
8,危险源态势研判,危化事故序列005,5.0,30.960161685943604,0.0,0.0,-0.25201064348220825,0.0,-0.25960161685943606,1.0,0.8385021353984053,25.960161685943604,0.0,相似案例缓存预测回退,"valid_13_0_危险源态势研判_危化事故序列005_t34,train_13_0_危险源态势研判_危化事故序列005_t27,valid_12_0_灾害图像深度分析_台风灾情序列004_t46,valid_0_0_受灾目标识别_洪涝巡检序列002_t9,train_0_0_受灾目标识别_洪涝巡检序列002_t8"
9,危险源态势研判,危化事故序列005,4.0,25.960161685943604,0.0,0.0,-0.2840837836265564,0.0,-0.21960161685943602,1.0,0.845917754735486,21.960161685943604,0.0,相似案例缓存预测回退,"valid_13_0_危险源态势研判_危化事故序列005_t35,train_13_0_危险源态势研判_危化事故序列005_t22,valid_12_0_灾害图像深度分析_台风灾情序列004_t46,valid_0_0_受灾目标识别_洪涝巡检序列002_t9,train_0_0_受灾目标识别_洪涝巡检序列002_t8"
